Column1;Samples;NMDS1;NMDS2;Label;Date;Site;Vanadium;Iron;Nickel;Copper;Zinc;Molybdenum;Cu.lvl
1;S1M1A17;-1,448037318;-1,000536688;CC1;A17;Sitio.1;0;0,73;0;11,66;0;5,27;Higher
2;S1M1F18;0,030688013;-0,052237567;MC1;F18;Sitio.1;5;28,7;14;15,2;28,8;17,8;Higher
3;S1M1A18;0,279561391;-0,171491747;MC1;A18;Sitio.1;5;24,4;27,1;5;20;22,9;Higher
4;S1M2A17;-1,764651545;-0,447255675;CC2;A17;Sitio.1;0;0;0;24,34;0;6,39;Higher
5;S1M2F18;-0,242232268;-0,036063593;MC2;F18;Sitio.1;5;20,4;16;14;20,9;30;Higher
6;S1M2A18;0,261506926;-0,237351553;MC2;A18;Sitio.1;5;36,1;26,1;5;20;21,7;Higher
7;S1M3A17;-1,672750211;0,181191675;CC3;A17;Sitio.1;0;1,69;0;24,17;1,64;8,4;Higher
8;S1M3F18;-1,284675863;-0,004639728;MC3;F18;Sitio.1;5;27;15,6;18,9;24,9;21,6;Higher
9;S1M3A18;0,217392691;-0,374434646;MC3;A18;Sitio.1;5;20;29;5;20;22,6;Higher
10;S1M4A17;-1,695691542;0,448577326;CC4;A17;Sitio.1;0,15;2,07;0;13,13;1,37;5,81;Higher
11;S1M4F18;-1,010148223;-0,209664018;MC4;F18;Sitio.1;5;23;14,5;19,9;26,8;18,6;Higher
12;S1M4A18;0,261749738;-0,388842871;MC4;A18;Sitio.1;5;29,2;29,5;21,6;20;21,7;Higher
13;S3M1A17;0,207986979;0,068229047;CH1;A17;Sitio.3;0,19;4,86;1,03;0,98;1,1;7;Lower
14;S3M1F18;0,317435901;0,032494352;MH1;F18;Sitio.3;5;35;13,1;5,7;20;17;Higher
15;S3M1A18;0,320842098;-0,042046328;MH1;A18;Sitio.3;5;29;27,9;5;20;22;Higher
16;S3M2A17;0,277567238;0,08298444;CH2;A17;Sitio.3;0,2;0,92;1,61;0,68;0,69;7,78;Lower
17;S3M2F18;0,30855312;-0,001690144;MH2;F18;Sitio.3;5;33,9;13;5;23,2;17,1;Higher
18;S3M2A18;0,306953755;-0,057055681;MH2;A18;Sitio.3;5;56,7;28,8;5;43,2;22,3;Higher
19;S3M3A17;0,262554606;0,007765956;CH3;A17;Sitio.3;0,43;3,36;2,03;1,85;2,47;8,73;Lower
20;S3M3F18;0,298696641;0,00673759;MH3;F18;Sitio.3;5;46,6;13,3;5;20;25,1;Higher
21;S3M3A18;0,28438569;-0,04684351;MH3;A18;Sitio.3;5;53,3;29,1;5;20;21,5;Higher
22;S3M4A17;0,24654004;-0,025030677;CH4;A17;Sitio.3;0,31;4;2,01;2,15;2,1;7,5;Lower
23;S3M4F18;0,295690922;0,0199945;MH4;F18;Sitio.3;5;62,9;14,3;5;24;21,6;Higher
24;S3M4A18;0,267766486;-0,116161024;MH4;A18;Sitio.3;5;23,5;28,8;5;20;21,2;Higher
25;S5M1A17;-0,377179984;0,851765592;NQ1;A17;Sitio.5;0,14;0;0,96;0,22;0,2;7,09;Lower
26;S5M1F18;-0,833096466;1,23754162;MQ1;F18;Sitio.5;5;37;13,7;5;20;17,8;Higher
27;S5M2A17;0,161003703;0,173680298;NQ2;A17;Sitio.5;0,67;1,36;1,48;0,29;3,69;8,48;Lower
28;S5M2F18;0,155823704;0,270064057;MQ2;F18;Sitio.5;5;43,6;14,4;5;20;28,4;Higher
29;S5M3A17;0,091670132;0,378512824;NQ3;A17;Sitio.5;0,51;1,38;1,82;0,34;0,69;8,7;Lower
30;S5M3F18;0,054928706;0,208530045;MQ3;F18;Sitio.5;5;38,9;13,3;5;20;20,8;Higher
31;S5M3A18;0,289194822;-0,096874392;MQ3;A18;Sitio.5;5;29,1;27,8;5;20;28,8;Higher
32;S5M4A17;0,168025276;0,359388943;NQ4;A17;Sitio.5;0,23;1,63;2,2;1,11;0,55;8,82;Lower
33;S5M4F18;-0,248915912;0,479328072;MQ4;F18;Sitio.5;5;58,2;13,3;5;20;17,8;Higher
34;S5M4A18;0,34162487;-0,030105645;MQ4;A18;Sitio.5;5;26,2;27,3;5;20;28,1;Higher
